,Movie,Date,Rating,Year,Director,Writer,Cast
78,Rocketman,17/07/2020,7,2019,Dexter Fletcher,Lee Hall,"Taron Egerton, Jamie Bell, Richard Madden, Bryce Dallas Howard, Gemma Jones, Steven Mackintosh, Tom Bennett, Matthew Illesley, Kit Connor, Charlie Rowe, Peter O___Hanlon, Ross Farrelly, Evan Walsh, Tate Donovan, Sharmina Harrower"
79,Dream House,19/07/2020,6,2011,Jim Sheridan,David Loucka,"Daniel Craig, Naomi Watts, Rachel Weisz, Elias Koteas, Marton Csokas, Taylor Geare, Claire Geare, Rachel G. Fox, Jane Alexander, Brian Murray, Bernadette Quigley, Sarah Gadon, Gregory Smith, Mark Wilson, David Huband"
80,Double Jeopardy,21/07/2020,8,1999,Bruce Beresford,"David Weisberg, Douglas Cook","Tommy Lee Jones, Ashley Judd, Benjamin Weir, Jay Brazeau, Bruce Greenwood, John Maclaren, Ed Evanko, Annabeth Gish, Bruce Campbell, Brennan Elliott, Angela Schneider, Michael Gaston, Gillian Barber, Tom McBeath, David Jacox"
81,The MUle,24/07/2020,9,2018,Clint Eastwood,"Nick Schenk, Sam Dolnick","Clint Eastwood, Patrick L. Reyes, Cesar De León, Gustavo Muñoz, Jackie Prucha, Richard Herd, Adam Drescher, Christi McClintock, Keith Flippen, Alison Eastwood, Kinsley Isla Dillon, Dianne Wiest, Joe Knezevich, Megan Leahy, Taissa Farmiga"
82,Sherlock Holmes: a game of shadows,26/07/2020,7,2011,Guy Ritchie,"Michele Mulroney, Kieran Mulroney","Robert Downey Jr., Jude Law, Noomi Rapace, Rachel McAdams, Jared Harris, Stephen Fry, Paul Anderson, Kelly Reilly, Geraldine James, Eddie Marsan, William Houston, Wolf Kahler, Iain Mitchell, Jack Laskey, Patricia Slater"
83,Lock Stock and Two Smoking Barrels,12/11/2020,8,1998,Guy Ritchie,Guy Ritchie,"Jason Flemyng, Dexter Fletcher, Nick Moran, Jason Statham, Steven Mackintosh, Nicholas Rowe, Nick Marcq, Charles Forbes, Vinnie Jones, Lenny McLean, Peter McNicholl, P.H. Moriarty, Frank Harper, Steve Sweeney, Huggy Leaver"
84,The Man from U.N.C.L.E.,10/12/2020,7,2015,Guy Ritchie,"Guy Ritchie, Lionel Wigram","Henry Cavill, Armie Hammer, Alicia Vikander, Elizabeth Debicki, Luca Calvani, Sylvester Groth, Hugh Grant, Jared Harris, Christian Berkel, Misha Kuznetsov, Guy Williams, Marianna Di Martino, Julian Michael Deuster, Andrea Cagliesi, Riccardo Calvanese"
85,Mudbound,29/07/2020,7,2017,Dee Rees,"Virgil Williams, Dee Rees","Carey Mulligan, Jason Clarke, Mary J. Blige, Rob Morgan, Jason Mitchell, Garrett Hedlund, Jonathan Banks, Frankie Smith, Kennedy Derosin, Joshua J. Williams, Elizabeth Windley, Piper Blair, Jason Kirkpatrick, Kerry Cahill, David Jensen"
86,The Farewell,31/07/2020,7,2019,Lulu Wang,Lulu Wang,"Shuzhen Zhao, Awkwafina, X Mayo, Hong Lu, Hong Lin, Tzi Ma, Diana Lin, Yang Xuejian, Becca Khalil, Yongbo Jiang, Han Chen, Aoi Mizuhara, Xiang Li, Hongli Liu, Shimin Zhang"
87,Downfall,01/08/2020,7,2004,Oliver Hirschbiegel,"Bernd Eichinger, Joachim Fest","Bruno Ganz, Alexandra Maria Lara, Corinna Harfouch, Ulrich Matthes, Juliane Köhler, Heino Ferch, Christian Berkel, Matthias Habich, Thomas Kretschmann, Michael Mendl, André Hennicke, Ulrich Noethen, Birgit Minichmayr, Rolf Kanies, Justus von Dohnányi"
88,Run All Night,04/08/2020,6,2015,Jaume Collet-Serra,Brad Ingelsby,"Liam Neeson, Ed Harris, Joel Kinnaman, Boyd Holbrook, Bruce McGill, Genesis Rodriguez, Vincent D___Onofrio, Lois Smith, Common, Beau Knapp, Patricia Kalember, Daniel Stewart Sherman, James Martinez, Radivoje Bukvic, Tony Naumovski"
89,Motherless Brooklyn,07/08/2020,5,2019,Edward Norton,"Edward Norton, Jonathan Lethem","Edward Norton, Gugu Mbatha-Raw, Alec Baldwin, Willem Dafoe, Bruce Willis, Ethan Suplee, Cherry Jones, Bobby Cannavale, Dallas Roberts, Josh Pais, Radu Spinghel, Fisher Stevens, Peter Gray Lewis, Robert Wisdom, Michael Kenneth Williams"
90,The First Purge,08/08/2020,6,2018,Gerard McMurray,James DeMonaco,"Y___lan Noel, Lex Scott Davis, Joivan Wade, Mugga, Patch Darragh, Marisa Tomei, Luna Lauren Velez, Kristen Solis, Rotimi Paul, Mo McRae, Jermel Howard, Siya, Christian Robinson, Steve Harris, Derek Basco"
91,Doctor Sleep,11/08/2020,8,2019,Mike Flanagan,"Mike Flanagan, Stephen King","Ewan McGregor, Rebecca Ferguson, Kyliegh Curran, Cliff Curtis, Zahn McClarnon, Emily Alyn Lind, Selena Anduze, Robert Longstreet, Carel Struycken, Katie Parker, James Flanagan, Met Clark, Zackary Momoh, Jocelin Donahue, Dakota Hickman"
92,Ready Player One,14/08/2020,7,2018,Steven Spielberg,"Zak Penn, Ernest Cline","Tye Sheridan, Olivia Cooke, Ben Mendelsohn, Lena Waithe, T.J. Miller, Simon Pegg, Mark Rylance, Philip Zhao, Win Morisaki, Hannah John-Kamen, Ralph Ineson, Susan Lynch, Clare Higgins, Laurence Spellman, Perdita Weeks"
93,No Country For Old Men,16/08/2020,8,2007,"Ethan Coen, Joel Coen","Joel Coen, Ethan Coen, Cormac McCarthy","Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson, Kelly Macdonald, Garret Dillahunt, Tess Harper, Barry Corbin, Stephen Root, Rodger Boyce, Beth Grant, Ana Reeder, Kit Gwin, Zach Hopkins, Chip Love, Eduardo Antonio Garcia, Gene Jones, Myk Watford"
94,Atonement,21/08/2020,7,2007,Joe Wright,"Ian McEwan, Christopher Hampton","Saoirse Ronan, Ailidh Mackay, Brenda Blethyn, Julia West, James McAvoy, Harriet Walter, Keira Knightley, Juno Temple, Felix von Simson, Charlie von Simson, Alfie Allen, Patrick Kennedy, Benedict Cumberbatch, Peter Wight, Leander Deeny"
95,The Way Back,22/08/2020,7,2020,Gavin O___Connor,Brad Ingelsby,"Ben Affleck, Al Madrigal, Janina Gavankar, Michaela Watkins, Brandon Wilson, Will Ropp, Fernando Luis Vega, Charles Lott Jr., Melvin Gregg, Ben Irving, Jeremy Radin, John Aylward, Da___Vinchi, Matthew Glave, Nico David"
96,The Ides Of March,27/08/2020,8,2011,George Clooney,"George Clooney, Grant Heslov","Ryan Gosling, George Clooney, Philip Seymour Hoffman, Paul Giamatti, Evan Rachel Wood, Marisa Tomei, Jeffrey Wright, Max Minghella, Jennifer Ehle, Gregory Itzin, Michael Mantell, Yuriy Sardarov, Bella Ivory, Maya Sayre, Danny Mooney"
97,Okja,28/08/2020,6,2017,Bong Joon Ho,"Bong Joon Ho, Jon Ronson","Tilda Swinton, Sheena Kamal, Michael Mitton, Colm Hill, Kathryn Kirkpatrick, Jose Carias, Giancarlo Esposito, Jake Gyllenhaal, Nancy Amelia Bell, Seo-hyun Ahn, Lee Jeong-eun, Byun Hee-Bong, Jaein Kim, Je-mun Yun, Shirley Henderson"
98,15 Minutes,29/08/2020,6,2001,John Herzfeld,John Herzfeld,"Robert De Niro, Edward Burns, Kelsey Grammer, Avery Brooks, Melina Kanakaredes, Karel Roden, Oleg Taktarov, Vera Farmiga, John DiResta, James Handy, Darius McCrary, Bruce Cutler, Charlize Theron, Kim Cattrall, David Alan Grier"
99,The Big Lebowski,02/09/2020,8,1998,"Joel Coen, Ethan Coen(uncredited)","Ethan Coen, Joel Coen","Jeff Bridges, John Goodman, Julianne Moore, Steve Buscemi, David Huddleston, Philip Seymour Hoffman, Tara Reid, Philip Moon, Mark Pellegrino, Peter Stormare, Flea, Torsten Voges, Jimmie Dale Gilmore, Jack Kehler, John Turturro"
100,Sicario Day Of The Soldado,04/09/2020,6,2018,Stefano Sollima,Taylor Sheridan,"Benicio Del Toro, Josh Brolin, Isabela Merced, Jeffrey Donovan, Catherine Keener, Manuel Garcia-Rulfo, Matthew Modine, Shea Whigham, Elijah Rodriguez, Howard Ferguson Jr., David Castañeda, Jacqueline Torres, Raoul Max Trujillo, Bruno Bichir, Jake Picking"
101,Seven Pounds,05/09/2020,8,2008,Gabriele Muccino,Grant Nieporte,"Will Smith, Rosario Dawson, Woody Harrelson, Michael Ealy, Barry Pepper, Elpidia Carrillo, Robinne Lee, Joe Nunez, Bill Smitrovich, Tim Kelleher, Gina Hecht, Andy Milder, Judyann Elder, Sarah Jane Morris, Madison Pettis"
102,The International,09/09/2020,6,2009,Tom Tykwer,Eric Warren Singer,"Clive Owen, Naomi Watts, Armin Mueller-Stahl, Ulrich Thomsen, Brían F. O___Byrne, Michel Voletti, Patrick Baladi, Jay Villiers, Fabrice Scott, Haluk Bilginer, Luca Barbareschi, Alessandro Fabrizi, Felix Solis, Jack McGee, Nilaja Sun"
103,The Meg,12/09/2020,5,2018,Jon Turteltaub,"Dean Georgaris, Jon Hoeber","Jason Statham, Bingbing Li, Rainn Wilson, Cliff Curtis, Winston Chao, Shuya Sophia Cai, Ruby Rose, Page Kennedy, Robert Taylor, Ólafur Darri Ólafsson, Jessica McNamee, Masi Oka, Raymond Vinten, Hongmei Mai, Wei Yi"
104,The Maze Runner,13/09/2020,8,2014,Wes Ball,"Noah Oppenheim, Grant Pierce Myers","Dylan O___Brien, Aml Ameen, Ki Hong Lee, Blake Cooper, Thomas Brodie-Sangster, Will Poulter, Dexter Darden, Kaya Scodelario, Chris Sheffield, Joe Adler, Alexander Flores, Jacob Latimore, Randall D. Cunningham, Patricia Clarkson, Don McManus"
105,The Jacket,18/09/2020,6,2005,John Maybury,"Tom Bleecker, Marc Rocco","Adrien Brody, Keira Knightley, Kris Kristofferson, Jennifer Jason Leigh, Kelly Lynch, Brad Renfro, Daniel Craig, Steven Mackintosh, Brendan Coyle, Mackenzie Phillips, Laura Marano, Jason Lewis, Richard Dillane, Jonah Lotan, Angel Coulby"
106,The Aeronauts,20/09/2020,8,2019,Tom Harper,"Richard Holmes, Tom Harper","Felicity Jones, Vincent Perez, Phoebe Fox, Lewin Lloyd, Himesh Patel, Eddie Redmayne, Robert Glenister, Tim McInnerny, Thomas Arnold, Tom Courtenay, Anne Reid, Lisa Jackson, Rebecca Front, Elsa Alili, Connie Price"
107,The Dawn Wall,21/09/2020,9,2017,"Josh Lowell, Peter Mortimer","Stars:John Branch, Tommy Caldwell, Kevin Jorgeson","John Branch, Tommy Caldwell, Kevin Jorgeson"
108,East Side Sushi,25/09/2020,7,2015,Anthony Lucero,Anthony Lucero,"Diana Elizabeth Torres, Yutaka Takeuchi, Rodrigo Duarte Clark, Kaya Jade Aguirre, Roji Oyama, Miyoko Sakatani, Lane Nishikawa, Melissa Locsin, James J. Der Jr., Bartholomew Wang, Edwin LI, Jesus Fuentes, Kathleen Park, Sara Matsui-Colby, Tomoharu Nakamura"
109,A Star Is Born,26/09/2020,7,2018,Bradley Cooper,"Eric Roth, Bradley Cooper","Lady Gaga, Bradley Cooper, Sam Elliott, Andrew Dice Clay, Rafi Gavron, Anthony Ramos, Dave Chappelle, Alec Baldwin, Marlon Williams, Brandi Carlile, Ron Rifkin, Barry Shabaka Henley, Michael D. Roberts, Michael Harney, Rebecca Field"
110,Big Fish,02/10/2020,9,2003,Tim Burton,"Daniel Wallace, John August","Ewan McGregor, Albert Finney, Billy Crudup, Jessica Lange, Helena Bonham Carter, Alison Lohman, Robert Guillaume, Marion Cotillard, Matthew McGrory, David Denman, Missi Pyle, Loudon Wainwright III, Ada Tai, Arlene Tai, Steve Buscemi"
111,The Report,03/10/2020,8,2019,Scott Z. Burns,Scott Z. Burns,"Adam Driver, Corey Stoll, Evander Duck Jr., Jon Hamm, Linda Powell, Annette Bening, Sandra Landers, John Rothman, Victor Slezak, Guy Boyd, Alexander Chaplin, Joanne Tucker, Maura Tierney, Michael C. Hall, Ian Blackman"
112,Enola Holmes,09/10/2020,6,2020,Harry Bradbeer,"Jack Thorne, Nancy Springer","Millie Bobby Brown, Henry Cavill, Sam Claflin, Helena Bonham Carter, Louis Partridge, Burn Gorman, Adeel Akhtar, Susan Wokoma, Hattie Morahan, David Bamber, Frances de la Tour, Claire Rushbrook, Fiona Shaw, Gaby French, Paul Copley"
113,#alive,10/10/2020,5,2020,Il Cho,"Il Cho, Matt Naylor","Yoo Ah-in, Park Shin-Hye, Bae-soo Jeon, Hyun-Wook Lee, Hye-Won Oh, Woon Jong Jeon, Kyu-Ho Lee, Chae Kyung Lee, Kyeong-won Son, Yun-ho Park, Seong-soo Han, Danbi Kim, Ra-Hee Kim, Hak-seon Kim, Hee-Jung So"
114,The Social Dilemma,12/10/2020,7,2020,Jeff Orlowski,"Davis Coombe, Vickie Curtis","Tristan Harris, Jeff Seibert, Bailey Richardson, Joe Toscano, Sandy Parakilas, Guillaume Chaslot, Lynn Fox, Aza Raskin, Alex Roetter, Tim Kendall, Justin Rosenstein, Randy Fernando, Jaron Lanier, Roger McNamee, Shoshana Zuboff"
115,The Peanut Butter Falcon,17/10/2020,7,2019,"Tyler Nilson, Michael Schwartz","Tyler Nilson, Michael Schwartz","Zack Gottsagen, Ann Owens, Dakota Johnson, Bruce Dern, Shia LaBeouf, Thomas Haden Church, Rob Thomas, Jon Bernthal, Tim Zajaros, John Hawkes, Yelawolf, Jonathan D. Williams, Deja Dee, Lee Spencer, Mark Helms"
116,The Old Man & The Gun,18/10/2020,6,2018,David Lowery,"David Lowery, David Grann","Robert Redford, Casey Affleck, Sissy Spacek, Danny Glover, Tom Waits, Tika Sumpter, Ari Elizabeth Johnson, Teagan Johnson, Gene Jones, John David Washington, Barlow Jacobs, Augustine Frizzell, Jennifer Joplin, Lisa DeRoberts, Carter Bratton"
117,The Founder,21/10/2020,7,2016,John Lee Hancock,Robert Siegel,"Michael Keaton, Nick Offerman, John Carroll Lynch, Linda Cardellini, B.J. Novak, Laura Dern, Justin Randell Brooke, Kate Kneeland, Patrick Wilson, Griff Furst, Wilbur Fitzgerald, David de Vries, Andrew Benator, Cara Mantella, Randall Taylor"
118,The Devil All The Time,23/10/2020,6,2020,Antonio Campos,"Antonio Campos, Paulo Campos","Tom Holland, Bill Skarsgård, Riley Keough, Jason Clarke, Sebastian Stan, Haley Bennett, Harry Melling, Eliza Scanlen, Mia Wasikowska, Robert Pattinson, Douglas Hodge, Kristin Griffith, Pokey LaFarge, David Atkinson, Matthew Vaughn"
119,The Assistant,24/10/2020,6,2019,Kitty Green,Kitty Green,"Julia Garner, Owen Holland, Jon Orsini, Rory Kulz, Migs Govea, Daoud Heidami, Ben Maters, Noah Robbins, Tony Torn, Dagmara Dominczyk, Alexander Chaplin, Bregje Heinen, Devon Caraway, Genny Lis Padilla, Clara Wong"
120,My Octopus Teacher,26/10/2020,7,2020,"Pippa Ehrlich, James Reed","Pippa Ehrlich, James Reed","Craig Foster, Tom Foster"
121,All The Money In The World,28/10/2020,6,2017,Ridley Scott,"David Scarpa, John Pearson","Michelle Williams, Christopher Plummer, Mark Wahlberg, Romain Duris, Timothy Hutton, Charlie Plummer, Charlie Shotwell, Andrew Buchan, Marco Leonardi, Giuseppe Bonifati, Nicolas Vaporidis, Andrea Piedimonte Bodini, Guglielmo Favilla, Nicola Di Chio, Adele Tirante"
122,Rebecca,04/11/2020,6,2020,Ben Wheatley,"Jane Goldman, Joe Shrapnel","Lily James, Jacques Bouanich, Marie Collins, Ann Dowd, Kristin Scott Thomas, Armie Hammer, Jean Dell, Sophie Payan, Pippa Winslow, Lucy Russell, Bruno Paviot, Stefo Linard, Tom Hudson, Jeff Rawle, Ashleigh Reynolds"
123,The Purge,06/11/2020,6,2013,James DeMonaco,James DeMonaco,"Ethan Hawke, Lena Headey, Max Burkholder, Adelaide Kane, Edwin Hodge, Rhys Wakefield, Tony Oller, Arija Bareikis, Tom Yi, Chris Mulkey, Tisha French, Dana Bunch, Peter Gvozdas, John Weselcouch, Alicia Vela-Bailey"
124,Free Solo,08/11/2020,8,2018,"Jimmy Chin, Elizabeth Chai Vasarhelyi","Stars:Alex Honnold, Tommy Caldwell, Jimmy Chin","Alex Honnold, Tommy Caldwell, Jimmy Chin, Cheyne Lempe, Mikey Schaefer, Sanni McCandless, Dierdre Wolownick, Peter Croft"
125,Water For Elephants,15/11/2020,8,2011,Francis Lawrence,"Richard LaGravenese, Sara Gruen","Reese Witherspoon, Robert Pattinson, Christoph Waltz, Paul Schneider, Jim Norton, Hal Holbrook, Mark Povinelli, Richard Brake, Stephen Monroe Taylor, Ken Foree, Scott MacDonald, James Frain, Sam Anderson, John Aylward, Brad Greenquist"
126,Happy Death Day 2u,21/11/2020,7,2019,Christopher Landon,"Christopher Landon, Scott Lobdell","Jessica Rothe, Israel Broussard, Phi Vu, Suraj Sharma, Sarah Yarkin, Rachel Matthews, Ruby Modine, Steve Zissis, Charles Aitken, Laura Clifton, Missy Yager, Jason Bayle, Caleb Spillyards, Jimmy Gonzales, Peter Jaymes Jr."
127,Tenet,20/11/2020,5,2020,Christopher Nolan,Christopher Nolan,"Juhan Ulfsak, Jefferson Hall, Ivo Uukkivi, Andrew Howard, John David Washington, Rich Ceraulo Ko, Jonathan Camp, Wes Chatham, Sander Rebane, Martin Donovan, Clémence Poésy, Josh Stewart, Robert Pattinson, Dimple Kapadia, Denzil Smith"
128,Palm Springs,25/11/2020,8,2020,Max Barbakow,"Andy Siara, Max Barbakow","Andy Samberg, Cristin Milioti, J.K. Simmons, Peter Gallagher, Meredith Hagner, Camila Mendes, Tyler Hoechlin, Chris Pang, Jacqueline Obradors, June Squibb, Tongayi Chirisa, Dale Dickey, Conner O___Malley, Jena Friedman, Brian Duffy"
129,Cube,28/11/2020,6,1997,Vincenzo Natali,"André Bijelic, Vincenzo Natali","Nicole de Boer, Nicky Guadagni, David Hewlett, Andrew Miller, Julian Richings, Wayne Robson, Maurice Dean Wint"
130,Luce,04/12/2020,7,2019,Julius Onah,"J.C. Lee , Julius Onah","Naomi Watts, Octavia Spencer, Kelvin Harrison Jr., Tim Roth, Norbert Leo Butz, Andrea Bang, Marsha Stephanie Blake, Astro, Omar Shariff Brunson Jr., Noah Gaynor, Christopher Mann, Hannah Cabell, Colton Osorio, Gibson Frazier, Ian Unterman"
131,The Call,11/12/2020,8,2020,Chung-Hyun Lee,"Sergio Casci, Chung-Hyun Lee","Park Shin-Hye, Jong-seo Jun, Sung-ryung Kim, El Lee, Park Ho-San, Oh Jeong-Se, Kyung-Sook Jo, Ryu Kyung-Soo, Dong-hwi Lee, Chang-gil Moon, Jonny Siew, Yo-sep Song, Chae-Young Um"
132,Last Flag Flying,12/12/2020,9,2017,Richard Linklater,"Richard Linklater, Darryl Ponicsan","Bryan Cranston, Laurence Fishburne, Steve Carell, J. Quinton Johnson, Deanna Reed-Foster, Yul Vazquez, Graham Wolfe, Jeff Monahan, Dontez James, Tammy Tsai, Richard Barlow, Cathy O___Dell, Jane Mowder, Richard Robichaux, Jerry Lee Tucker"
133,The Dry,20/12/2020,7,2020,Robert Connolly,"Harry Cripps, Robert Connolly","Eric Bana, Genevieve O___Reilly, Keir O___Donnell, John Polson, Julia Blake, Bruce Spence, William Zappa, Matt Nable, James Frecheville, Jeremy Lindsay Taylor, Joe Klocek, BeBe Bettencourt, Claude Scott-Mitchell, Sam Corlett, Miranda Tapsell"
134,Akira,21/12/2020,8,1988,Katsuhiro Ôtomo,"Katsuhiro Ôtomo, Izô Hashimoto","Mitsuo Iwata, Nozomu Sasaki, Mami Koyama, Tesshô Genda, Hiroshi Ôtake, Kôichi Kitamura, Michihiro Ikemizu, Yuriko Fuchizaki, Masaaki Ôkura, Tarô Arakawa, Takeshi Kusao, Kazumi Tanaka, Masayuki Katô, Yôsuke Akimoto, Masato Hirano"
135,The Host,27/12/2020,5,2006,Bong Joon Ho,"Bong Joon Ho, Won-jun Ha","Kang-ho Song, Byun Hee-Bong, Park Hae-il, Bae Doona, Ko Asung, Dal-su Oh, Jae-eung Lee, Dong-ho Lee, Je-mun Yun, Pil-sung Yim, Roe-ha Kim, Yeon-su Yu, No-shik Park, Su-hee Go, Scott Wilson"
136,8 Mile,29/12/2020,7,2002,Curtis Hanson,Scott Silver,"Eminem, Kim Basinger, Mekhi Phifer, Brittany Murphy, Evan Jones, Omar Benson Miller, De___Angelo Wilson, Eugene Byrd, Taryn Manning, Larry Hudson, Proof, Mike Bell, DJ Head, Michael Shannon, Chloe Greenfield"
137,Die Hard,30/12/2020,8,1988,John McTiernan,"Roderick Thorp, Jeb Stuart","Bruce Willis, Bonnie Bedelia, Reginald VelJohnson, Paul Gleason, De___voreaux White, William Atherton, Hart Bochner, James Shigeta, Alan Rickman, Alexander Godunov, Bruno Doyon, Andreas Wisniewski, Clarence Gilyard Jr., Joey Plewa, Lorenzo Caccialanza"
138,Sorry To Bother You,31/12/2020,5,2018,Boots Riley,Boots Riley,"LaKeith Stanfield, Tessa Thompson, Jermaine Fowler, Omari Hardwick, Terry Crews, Kate Berlant, Michael X. Sommers, Danny Glover, Steven Yeun, Armie Hammer, Robert Longstreet, David Cross, Patton Oswalt, Lily James, Forest Whitaker"
139,Ip Man,31/12/2020,8,2008,Wilson Yip,"Edmond Wong, Tai-lee Chan","Donnie Yen, Simon Yam, Lynn Xiong, Hiroyuki Ikeuchi, Ka Tung Lam, Siu-Wong Fan, Xing Yu, You-Nam Wong, Yu-Hang To, Calvin Ka-Sing Cheng, Zhi-Hui Chen, Tenma Shibuya, Li Chak, Deqiang Shi, Zhong Zhou"
140,Somm,06/01/2021,7,2012,Jason Wise,Jason Wise,"Bo Barrett, Shayn Bjornholm, Dave Cauble, Ian Cauble, Andrea Cecci, Fred Dame, Elizabeth Dowty, Whitney Fisher, Jay Fletcher, Jean Marie Fourrier, Wilhelm Haag, Drew Hendricks, Michael Jordan, Geoff Kruth, Mercedes Lam"
141,L.a. Confidential,09/01/2021,8,1997,Curtis Hanson,"James Ellroy, Brian Helgeland","Kevin Spacey, Russell Crowe, Guy Pearce, James Cromwell, Kim Basinger, Danny DeVito, David Strathairn, Ron Rifkin, Matt McCoy, Paul Guilfoyle, Paolo Seganti, Elisabeth Granli, Sandra Taylor, Steve Rankin, Graham Beckel"
142,Pieces Of A Woman,13/01/2021,6,2020,Kornél Mundruczó,Kata Wéber,"Vanessa Kirby, Shia LaBeouf, Ellen Burstyn, Iliza Shlesinger, Benny Safdie, Sarah Snook, Molly Parker, Steven McCarthy, Tyrone Benskin, Frank Schorpion, Harry Standjofski, Domenic Di Rosa, Jimmie Fails, Juliette Casagrande, Gayle Garfinkle"
143,The Departed,16/01/2021,9,2006,Martin Scorsese,"William Monahan, Alan Mak","Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg, Martin Sheen, Ray Winstone, Vera Farmiga, Anthony Anderson, Alec Baldwin, Kevin Corrigan, James Badge Dale, David O___Hara, Mark Rolston, Robert Wahlberg, Kristen Dalton"
144,The Paramedic,21/01/2021,6,2020,Carles Torras,"Rebeca Arnal, David Desola","Mario Casas, Déborah François, Guillermo Pfening, Maria Rodríguez Soto, Celso Bugallo, Raúl Jiménez, Pol Monen, Alice Bocchi, Martin Bacigalupo, Gerard Oms, Tony Corvillo, Sara Ruiz, Linda Morselli, Andrea Marmolejo, Mercè Sánchez Camps"
145,Promising Young Woman,22/01/2021,7,2020,Emerald Fennell,Emerald Fennell,"Adam Brody, Ray Nicholson, Sam Richardson, Carey Mulligan, Timothy E. Goodwin, Clancy Brown, Jennifer Coolidge, Laverne Cox, Alli Hart, Loren Paul, Scott Aschenbrenner, Bo Burnham, Christopher Mintz-Plasse, Alison Brie, Gabriel Oliva"
146,Mr. Brooks,23/01/2021,7,2007,Bruce A. Evans,"Bruce A. Evans, Raynold Gideon","Kevin Costner, Demi Moore, Dane Cook, William Hurt, Marg Helgenberger, Ruben Santiago-Hudson, Danielle Panabaker, Aisha Hinds, Lindsay Crouse, Jason Lewis, Reiko Aylesworth, Matt Schulze, Yasmine Delawari, Thunderbird Dinwiddie, Michael Cole"
147,The Untouchables,29/01/2021,7,1987,Brian De Palma,"David Mamet, Oscar Fraley","Kevin Costner, Sean Connery, Charles Martin Smith, Andy Garcia, Robert De Niro, Richard Bradford, Jack Kehoe, Brad Sullivan, Billy Drago, Patricia Clarkson, Vito D___Ambrosio, Steven Goldstein, Peter Aylward, Don Harvey, Robert Swan"
148,The Illusionist,06/02/2021,7,2006,Neil Burger,"Neil Burger, Steven Millhauser","Edward Norton, Paul Giamatti, Jessica Biel, Rufus Sewell, Eddie Marsan, Jake Wood, Tom Fisher, Aaron Taylor-Johnson, Eleanor Tomlinson, Karl Johnson, Vincent Franklin, Nicholas Blane, Philip McGough, Erich Redman, Michael Carter"
149,Blackfish,11/02/2021,8,2013,Gabriela Cowperthwaite,"Gabriela Cowperthwaite, Eli B. Despres","Tilikum, John Hargrove, Samantha Berg, Mark Simmons, Kim Ashdown, Dean Gomersall, James Earl Jones, Shamu, Carol Ray, John Jett, Dawn Brancheau, Jeffrey Ventre, Thomas Tobin, Dave Duffus, Jim Payne"
150,The Red Sea Diving Resort,12/02/2021,6,2019,Gideon Raff,Gideon Raff,"Mbulelo Grootboom, Sizo Mahlangu, Michael Kenneth Williams, Masasa Mbangeni, Setlhabi Jacob Taunyane, Ditebogo Ledwaba, Motsi Tekateka, Reabetswe Modiga, Taye Tagese Leimango, Alessandro Nivola, Chris Evans, Simphiwe Ndhlebe, Yossi Vasa, Greg Kinnear, Faheem Vally"
151,The Foreigner,13/02/2021,7,2017,Martin Campbell,"David Marconi, Stephen Leather","Katie Leung, Jackie Chan, Rufus Jones, Mark Tandy, John Cronin, Caolan Byrne, Donna Bernard, Aaron Monaghan, Niall McNamee, Pierce Brosnan, Charlie Murphy, Orla Brady, Lia Williams, Michael McElhatton, David Pearse"
152,Moulin Rouge,14/02/2021,9,2001,Baz Luhrmann,"Baz Luhrmann, Craig Pearce","Nicole Kidman, Ewan McGregor, John Leguizamo, Jim Broadbent, Richard Roxburgh, Garry McDonald, Jacek Koman, Matthew Whittet, Kerry Walker, Caroline O___Connor, Christine Anu, Natalie Mendoza, Lara Mulcahy, David Wenham, Kylie Minogue"
153,Death To 2020,17/02/2021,7,2020,"Al Campbell, Alice Mathias","Charlie Brooker, Annabel Jones","Samuel L. Jackson, Hugh Grant, Lisa Kudrow, Kumail Nanjiani, Tracey Ullman, Samson Kayo, Leslie Jones, Diane Morgan, Cristin Milioti, Joe Keery, Laurence Fishburne, Angelo Irving, Lily Sullivan"
154,Argo,19/02/2021,8,2012,Ben Affleck,"Chris Terrio, Tony Mendez","Ben Affleck, Bryan Cranston, Alan Arkin, John Goodman, Victor Garber, Tate Donovan, Clea DuVall, Scoot McNairy, Rory Cochrane, Christopher Denham, Kerry Bishé, Kyle Chandler, Chris Messina, Zeljko Ivanek, Titus Welliver"
155,Moneyball,21/02/2021,7,2011,Bennett Miller,"Steven Zaillian, Aaron Sorkin","Brad Pitt, Jonah Hill, Philip Seymour Hoffman, Robin Wright, Chris Pratt, Stephen Bishop, Reed Diamond, Brent Jennings, Ken Medlock, Tammy Blanchard, Jack McGee, Vyto Ruginis, Nick Searcy, Glenn Morshower, Casey Bond"
156,Us,27/02/2021,9,2019,Jordan Peele,Jordan Peele,"Lupita Nyong___o, Winston Duke, Elisabeth Moss, Tim Heidecker, Shahadi Wright Joseph, Evan Alex, Yahya Abdul-Mateen II, Anna Diop, Cali Sheldon, Noelle Sheldon, Madison Curry, Ashley McKoy, Napiera Groves, Lon Gowan, Alan Frazier"
